,Mean birth,Std birth,Mean G1S,Std G1S,Mean div,Std div,G1 b,G1 m,G1 msr,SG2 b,SG2 m,SG2 msr,G1S trans m,G1S trans b
Size,0.7368511806943963,0.744743892277871,0.9699092434331158,0.3626942509689501,1.715152162287112,0.6514532875480085,0.001180350898319891,0.0052962552868060465,1.310874920068501e-05,0.001180350898319891,0.004762384717575287,1.3604120051789834e-05,0.5937183376278199,-0.16497182017173972
RB,1.2137180161313725,0.5583739120928009,0.930555739969454,0.25020700598913886,1.8153679647730494,0.5695656452847069,0.004726823352642507,0.000758655607202428,1.8651392664619425e-05,0.004726823352642507,0.0012935015759772148,1.6593069356048237e-05,,
RB conc,,,,,,,,,,,,,-0.04447689629414865,0.48004326515404583
